,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
210,RepCarlos,Gimenez,Carlos,House,Republican,Florida,26,"January 3, 2021",M,,,,,,
211,RepMariaSalazar,Salazar,Maria Elvira,House,Republican,Florida,27,"January 3, 2021",F,,,,,,
212,repBuddyCarter,Carter,"Earl ""Buddy""",House,Republican,Georgia,1,"January 3, 2015",M,,,,,,
213,SanfordBishop,Bishop,Sanford,House,Democratic,Georgia,2,"January 3, 1993",M,,,,,,
214,RepDrewFerguson,Ferguson,Drew,House,Republican,Georgia,3,"January 3, 2017",M,,,,,,
215,RepHankJohnson,Johnson,Hank,House,Democratic,Georgia,4,"January 3, 2007",M,,,,,,
216,RepNikema,Williams,Nikema,House,Democratic,Georgia,5,"January 3, 2021",F,,,,,,
217,RepLucyMcBath,McBath,Lucy,House,Democratic,Georgia,6,"January 3, 2019",F,,,,,,
218,RepBourdeaux,Bourdeaux,Carolyn,House,Democratic,Georgia,7,"January 3, 2021",F,,,,,,
219,AustinScottGA08,Scott,Austin,House,Republican,Georgia,8,"January 3, 2011",M,,,,,,
220,Rep_Clyde,Clyde,Andrew,House,Republican,Georgia,9,"January 3, 2021",M,,,,,,
221,congressmanhice,Hice,Jody,House,Republican,Georgia,10,"January 3, 2015",M,,,,,,
222,reploudermilk,Loudermilk,Barry,House,Republican,Georgia,11,"January 3, 2015",M,,,,,,
223,RepRickAllen,Allen,Rick,House,Republican,Georgia,12,"January 3, 2015",M,,,,,,
224,repdavidscott,Scott,David,House,Democratic,Georgia,13,"January 3, 2003",M,,,,,,
225,RepMTG,Greene,Marjorie Taylor,House,Republican,Georgia,14,"January 3, 2021",F,,,,,,
226,RepEdCase,Case,Ed,House,Democratic,Hawaii,1,"January 3, 2019",M,,,,,,
227,RepKahele,Kahele,Kaiali'i,House,Democratic,Hawaii,2,"January 3, 2021",M,,,,,,
228,RepRussFulcher,Fulcher,Russ,House,Republican,Idaho,1,"January 3, 2019",M,,,,,,
229,CongMikeSimpson,Simpson,Michael,House,Republican,Idaho,2,"January 3, 1999",M,,,,,,
230,repbobbyrush,Rush,Bobby,House,Democratic,Illinois,1,"January 3, 1993",M,,,,,,
231,RepRobinKelly,Kelly,Robin,House,Democratic,Illinois,2,"April 11, 2013",F,,,,,,
232,RepMarieNewman,Newman,Marie,House,Democratic,Illinois,3,"January 3, 2021",F,,,,,,
233,RepChuyGarcia,Garcia,Jesus,House,Democratic,Illinois,4,"January 3, 2019",M,,,,,,
234,RepMikeQuigley,Quigley,Mike,House,Democratic,Illinois,5,"April 7, 2009",M,,,,,,
235,RepCasten,Casten,Sean,House,Democratic,Illinois,6,"January 3, 2019",M,,,,,,
236,RepDannyDavis,Davis,Danny K.,House,Democratic,Illinois,7,"January 3, 1997",M,,,,,,
237,CongressmanRaja,Krishnamoorthi,Raja,House,Democratic,Illinois,8,"January 3, 2017",M,,,,,,
238,RepSchakowsky,Schakowsky,Jan,House,Democratic,Illinois,9,"January 3, 1999",F,,,,,,
239,repschneider,Schneider,Brad,House,Democratic,Illinois,10,"January 3, 2017",M,,,,,,
240,RepBillFoster,Foster,Bill,House,Democratic,Illinois,11,"January 3, 2013",M,,,,,,
